user_id	tag_id	readtime	
1	1	0.327	
1	2	0.108	
1	3	0.355	
1	4	0.142	
1	5	0.337	
1	6	0.331	
1	7	0.275	
1	8	0.194	
1	9	0.103	
1	10	0.427	
1	11	0.39	
1	12	0.022	
1	13	0.411	
1	14	0.063	
1	15	0.049	
1	16	0.348	
1	17	0.297	
1	18	0.477	
1	19	0.393	
1	20	0.171	
1	21	0.429	
1	22	0.116	
1	23	0.209	
1	24	0.116	
1	25	0.387	
1	26	0.458	
1	27	0.198	
1	28	0.314	
1	29	0.457	
1	30	0.218	
1	31	0.406	
1	32	0	
1	33	0.223	
1	34	0.368	
1	35	0.237	
1	36	0.349	
1	37	0.334	
1	38	0.369	
1	39	0.262	
1	40	0.251	
1	41	0.339	
1	42	0.039	
1	43	0.234	
1	44	0.207	
1	45	0.483	
1	46	0.355	
1	47	0.362	
1	48	0.153	
1	49	0.111	
1	50	0.105	
1	51	0.13	
1	52	0.054	
1	53	0.43	
1	54	0.388	
1	55	0.343	
1	56	0.003	
1	57	0.336	
1	58	0.266	
1	59	0.23	
1	60	0.243	 
1	61	0.316	
1	62	0.442	
1	63	0.222	
1	64	0.401	
1	65	0.114	
1	66	0.07	
1	67	0.484	
1	68	0.432	
1	69	0.372	
1	70	0.435	
1	71	0.335	
1	72	0.081	
1	73	0.232	
1	74	0.179	
1	75	0.259	
1	76	0.367	
1	77	0.5	
1	78	0.202	
1	79	0.4	
1	80	0.412	
1	81	0.454	
1	82	0.459	
1	83	0.046	
1	84	0.474	
1	85	0.111	
1	86	0.322	
1	87	0.335	
1	88	0.262	
1	89	0.236	
1	90	0.278	
1	91	0.439	
1	92	0.149	
1	93	0.242	
1	94	0.072	
1	95	0.333	
1	96	0.166	
1	97	0.211	
1	98	0.192	
1	99	0.119	
1	100	0.092	
1	101	0.006	
1	102	0.088	
1	103	0.418	
1	104	0.011	
1	105	0.423	
1	106	0.392	
1	107	0.122	
1	108	0.046	
1	109	0.087	
1	110	0.42	
1	111	0.232	
1	112	0.161	
1	113	0.104	
1	114	0.075	
1	115	0.126	
1	116	0.417	
1	117	0.085	
1	118	0.077	
1	119	0.108	
1	120	0.497	
1	121	0.35	
1	122	0.006	
1	123	0.231	
1	124	0.159	
1	125	0.274	
1	126	0.148	
1	127	0.1	
1	128	0.223	
1	129	0.183	
1	130	0.454	
1	131	0.468	
1	132	0.302	
1	133	0.429	
1	134	0.171	
1	135	0.413	
1	136	0.004	
1	137	0.455	
1	138	0.289	
1	139	0.366	
1	140	0.426	
1	141	0.185	
1	142	0.14	
1	143	0	
1	144	0.244	
1	145	0.031	
1	146	0.338	
1	147	0.384	
1	148	0.146	
1	149	0.042	
1	150	0.405	
1	151	0.131	
1	152	0.149	
1	153	0.105	
1	154	0.406	
1	155	0.134	
1	156	0.112	
1	157	0.045	
1	158	0.003	
1	159	0.375	
1	160	0.019	
1	161	0.469	
1	162	0.381	
1	163	0.497	
1	164	0.473	
1	165	0.009	
1	166	0.102	
1	167	0.042	
1	168	0.469	
1	169	0.392	
1	170	0.297	
1	171	0.064	
1	172	0.465	
1	173	0.459	
1	174	0.179	
1	175	0.392	
1	176	0.071	
1	177	0.356	
1	178	0.242	
1	179	0.192	
1	180	0.151	
1	181	0.059	
2	1	0.006	
2	2	0.449	
2	3	0.139	
2	4	0.317	
2	5	0.379	
2	6	0.141	
2	7	0.492	
2	8	0.357	
2	9	0.335	
2	10	0.419	
2	11	0.014	
2	12	0.493	
2	13	0.368	
2	14	0.452	
2	15	0.161	
2	16	0.225	
2	17	0.062	
2	18	0.461	
2	19	0.147	
2	20	0.429	
2	21	0.065	
2	22	0.018	
2	23	0.114	
2	24	0.351	
2	25	0.225	
2	26	0.364	
2	27	0.07	
2	28	0.357	
2	29	0.102	
2	30	0.222	
2	31	0.118	
2	32	0.462	
2	33	0.163	
2	34	0.175	
2	35	0.215	
2	36	0.002	
2	37	0.206	
2	38	0.475	
2	39	0.109	
2	40	0.165	
2	41	0.388	
2	42	0.059	
2	43	0.444	
2	44	0.117	
2	45	0.117	
2	46	0.39	
2	47	0.244	
2	48	0.288	
2	49	0.088	
2	50	0.299	
2	51	0.176	
2	52	0.429	
2	53	0.047	
2	54	0.011	
2	55	0.394	
2	56	0.068	
2	57	0.162	
2	58	0.112	
2	59	0.189	
2	60	0.243	
2	61	0.102	
2	62	0.07	
2	63	0.286	
2	64	0.33	
2	65	0.096	
2	66	0.4	
2	67	0.167	
2	68	0.046	
2	69	0.153	
2	70	0.287	
2	71	0.112	
2	72	0.414	
2	73	0.412	
2	74	0.239	
2	75	0.35	
2	76	0.316	
2	77	0.297	
2	78	0.073	
2	79	0.342	
2	80	0.2	
2	81	0.196	
2	82	0.326	
2	83	0.181	
2	84	0.361	
2	85	0.357	
2	86	0.212	
2	87	0.248	
2	88	0.44	
2	89	0.053	
2	90	0.416	
2	91	0.407	
2	92	0.115	
2	93	0.341	
2	94	0.097	
2	95	0.039	
2	96	0.203	
2	97	0.202	
2	98	0.299	
2	99	0.258	
2	100	0.278	
2	101	0.498	
2	102	0.147	
2	103	0.426	
2	104	0.4	
2	105	0.143	
2	106	0.239	
2	107	0.367	
2	108	0.324	
2	109	0.365	
2	110	0.486	
2	111	0.2	
2	112	0.084	
2	113	0.131	
2	114	0.16	
2	115	0.3	
2	116	0.445	
2	117	0.31	
2	118	0.196	
2	119	0.199	
2	120	0.224	
2	121	0.076	
2	122	0.33	
2	123	0.496	
2	124	0.375	
2	125	0.08	
2	126	0.376	
2	127	0.396	
2	128	0.493	
2	129	0.064	
2	130	0.008	
2	131	0.387	
2	132	0.211	
2	133	0.036	
2	134	0.378	
2	135	0.036	
2	136	0.005	
2	137	0.281	
2	138	0.282	
2	139	0.4	
2	140	0.071	
2	141	0.076	
2	142	0.302	
2	143	0.089	
2	144	0.414	
2	145	0.205	
2	146	0.093	
2	147	0.355	
2	148	0.006	
2	149	0.235	
2	150	0.424	
2	151	0.422	
2	152	0.272	
2	153	0.13	
2	154	0.276	
2	155	0.14	
2	156	0.122	
2	157	0.024	
2	158	0.398	
2	159	0.267	
2	160	0.388	
2	161	0.252	
2	162	0.248	
2	163	0.003	
2	164	0.212	
2	165	0.283	
2	166	0.15	
2	167	0.328	
2	168	0.176	
2	169	0.05	
2	170	0.087	
2	171	0.177	
2	172	0.144	
2	173	0.412	
2	174	0.161	
2	175	0.459	
2	176	0.05	
2	177	0.114	
2	178	0.255	
2	179	0.157	
2	180	0.164	
2	181	0.166	
3	1	0.181	
3	2	0.186	
3	3	0.329	
3	4	0.265	
3	5	0.099	
3	6	0.095	
3	7	0.156	
3	8	0.368	
3	9	0.42	
3	10	0.084	
3	11	0.008	
3	12	0.295	
3	13	0.296	
3	14	0.371	
3	15	0.133	
3	16	0.211	
3	17	0.451	
3	18	0.372	
3	19	0.059	
3	20	0.469	
3	21	0.332	
3	22	0.285	
3	23	0.381	
3	24	0.207	
3	25	0.384	
3	26	0.002	
3	27	0.191	
3	28	0.259	
3	29	0.15	
3	30	0.355	
3	31	0.289	
3	32	0.092	
3	33	0.322	
3	34	0.091	
3	35	0.116	
3	36	0.003	
3	37	0.265	
3	38	0.102	
3	39	0.474	
3	40	0.399	
3	41	0.23	
3	42	0.15	
3	43	0.306	
3	44	0.09	
3	45	0.181	
3	46	0.174	
3	47	0.375	
3	48	0.169	
3	49	0.481	
3	50	0.175	
3	51	0.242	
3	52	0.49	
3	53	0.133	
3	54	0.175	
3	55	0.163	
3	56	0.403	
3	57	0.149	
3	58	0.422	
3	59	0.444	
3	60	0.403	
3	61	0.09	
3	62	0.487	
3	63	0.436	
3	64	0.419	
3	65	0.472	
3	66	0.275	
3	67	0.394	
3	68	0.358	
3	69	0.425	
3	70	0.402	
3	71	0.062	
3	72	0.269	
3	73	0.346	
3	74	0.378	
3	75	0.279	
3	76	0.482	
3	77	0.416	
3	78	0.13	
3	79	0.091	
3	80	0.185	
3	81	0.262	
3	82	0.155	
3	83	0.44	
3	84	0.146	
3	85	0.397	
3	86	0.162	
3	87	0.381	
3	88	0.123	
3	89	0.213	
3	90	0.309	
3	91	0.127	
3	92	0.495	
3	93	0.074	
3	94	0.471	
3	95	0.052	
3	96	0.08	
3	97	0.179	
3	98	0.317	
3	99	0.236	
3	100	0.261	
3	101	0.082	
3	102	0.425	
3	103	0.319	
3	104	0.031	
3	105	0.475	
3	106	0.373	
3	107	0.142	
3	108	0.247	
3	109	0.372	
3	110	0.463	
3	111	0.119	
3	112	0.071	
3	113	0.161	
3	114	0.164	
3	115	0.461	
3	116	0.062	
3	117	0.494	
3	118	0.165	
3	119	0.158	
3	120	0.489	
3	121	0.383	
3	122	0.37	
3	123	0.154	
3	124	0.191	
3	125	0.469	
3	126	0.48	
3	127	0.365	
3	128	0.425	
3	129	0.03	
3	130	0.092	
3	131	0.075	
3	132	0.056	
3	133	0.424	
3	134	0.051	
3	135	0.476	
3	136	0.399	
3	137	0.284	
3	138	0.347	
3	139	0.195	
3	140	0.04	
3	141	0.243	
3	142	0.032	
3	143	0.072	
3	144	0.35	
3	145	0.02	
3	146	0.155	
3	147	0.091	
3	148	0.211	
3	149	0	
3	150	0.364	
3	151	0.158	
3	152	0.124	
3	153	0.224	
3	154	0.39	
3	155	0.358	
3	156	0.447	
3	157	0.396	
3	158	0.32	
3	159	0.009	
3	160	0.375	
3	161	0.077	
3	162	0.363	
3	163	0.413	
3	164	0.217	
3	165	0.317	
3	166	0.18	
3	167	0.474	
3	168	0.141	
3	169	0.489	
3	170	0.463	
3	171	0.292	
3	172	0.487	
3	173	0.058	
3	174	0.457	
3	175	0.215	
3	176	0.084	
3	177	0.092	
3	178	0.281	
3	179	0.214	
3	180	0.305	
3	181	0.42	
4	1	0.209	
4	2	0.03	
4	3	0.368	
4	4	0.261	
4	5	0.142	
4	6	0.254	
4	7	0.175	
4	8	0.481	
4	9	0.206	
4	10	0.434	
4	11	0.38	
4	12	0.06	
4	13	0.04	
4	14	0.357	
4	15	0.276	
4	16	0.325	
4	17	0.005	
4	18	0.457	
4	19	0.38	
4	20	0.476	
4	21	0.369	
4	22	0.334	
4	23	0.046	
4	24	0.052	
4	25	0.172	
4	26	0.259	
4	27	0.043	
4	28	0.251	
4	29	0.395	
4	30	0.468	
4	31	0.459	
4	32	0.076	
4	33	0.305	
4	34	0.024	
4	35	0.297	
4	36	0.097	
4	37	0.16	
4	38	0.46	
4	39	0.312	
4	40	0.484	
4	41	0.341	
4	42	0.083	
4	43	0.158	
4	44	0.279	
4	45	0.205	
4	46	0.064	
4	47	0.391	
4	48	0.296	
4	49	0.351	
4	50	0.27	
4	51	0.012	
4	52	0.424	
4	53	0.473	
4	54	0.317	
4	55	0.03	
4	56	0.466	
4	57	0.421	
4	58	0.181	
4	59	0.232	
4	60	0.313	
4	61	0.011	
4	62	0.031	
4	63	0.399	
4	64	0.17	
4	65	0.355	
4	66	0.115	
4	67	0.135	
4	68	0.044	
4	69	0.009	
4	70	0.062	
4	71	0.432	
4	72	0.431	
4	73	0.199	
4	74	0.113	
4	75	0.451	
4	76	0.378	
4	77	0.035	
4	78	0.099	
4	79	0.3	
4	80	0.023	
4	81	0.176	
4	82	0.012	
4	83	0.413	
4	84	0.434	
4	85	0.337	
4	86	0.414	
4	87	0.315	
4	88	0.394	
4	89	0.449	
4	90	0.404	
4	91	0.362	
4	92	0.273	
4	93	0.018	
4	94	0.397	
4	95	0.101	
4	96	0.103	
4	97	0.037	
4	98	0.356	
4	99	0.117	
4	100	0.384	
4	101	0.384	
4	102	0.433	
4	103	0.181	
4	104	0.486	
4	105	0.326	
4	106	0.259	
4	107	0.045	
4	108	0.035	
4	109	0.441	
4	110	0.262	
4	111	0.164	
4	112	0.276	
4	113	0.31	
4	114	0.377	
4	115	0.178	
4	116	0.059	
4	117	0.243	
4	118	0.052	
4	119	0.253	
4	120	0.326	
4	121	0.296	
4	122	0	
